SNOMED_concept,mapped_from_concept_id,mapped_from_concept_name,mapped_from_concept_code,mapped_from_vocabulary_id,descendant_omop_concept_ids
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45567200,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side,I69.852,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45596224,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side,I69.853,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45591492,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side,I69.854,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45576900,Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side,I69.859,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45543206,Other paralytic syndrome following other cerebrovascular disease affecting right dominant side,I69.861,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45548052,Other paralytic syndrome following other cerebrovascular disease affecting left dominant side,I69.862,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45552821,Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side,I69.863,ICD10CM,[443599]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45543207,Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side,I69.864,ICD10CM,[443599]
"Aphasia as late effect of cerebrovascular disease (441630004, OMOP concept_id: 40480002)",45562381,Aphasia following unspecified cerebrovascular disease,I69.920,ICD10CM,[40480002]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45538418,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side,I69.951,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45543208,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side,I69.952,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45601064,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side,I69.953,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45567205,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side,I69.954,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45538419,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side,I69.959,ICD10CM,[43530742]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45533482,Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side,I69.961,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45581796,Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side,I69.962,ICD10CM,[443609]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45605826,Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side,I69.963,ICD10CM,[443599]
"Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (361000119103, OMOP concept_id: 43530742)",45538420,Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side,I69.964,ICD10CM,[443599]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569436,Intraoperative cerebrovascular infarction,I97.81,ICD10CM,[40479572]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45601111,Intraoperative cerebrovascular infarction during cardiac surgery,I97.810,ICD10CM,[40479572]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45533535,Intraoperative cerebrovascular infarction during other surgery,I97.811,ICD10CM,[40479572]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569437,Postprocedural cerebrovascular infarction,I97.82,ICD10CM,[40479572]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45572155,Postprocedural cerebrovascular infarction following cardiac surgery,I97.820,ICD10CM,[40479572]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45557613,Postprocedural cerebrovascular infarction following other surgery,I97.821,ICD10CM,[40479572]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1571982,Intracranial laceration and hemorrhage due to birth injury,P10,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210442,Subdural hemorrhage due to birth injury,P10.0,ICD10CM,[4130539]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210443,Cerebral hemorrhage due to birth injury,P10.1,ICD10CM,[4071589]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210444,Intraventricular hemorrhage due to birth injury,P10.2,ICD10CM,[4048279]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210445,Subarachnoid hemorrhage due to birth injury,P10.3,ICD10CM,[4071066]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210447,Other intracranial lacerations and hemorrhages due to birth injury,P10.8,ICD10CM,[378544]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210448,Unspecified intracranial laceration and hemorrhage due to birth injury,P10.9,ICD10CM,[378544]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1572016,Intracranial nontraumatic hemorrhage of newborn,P52,ICD10CM,[439847]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210560,"Intraventricular (nontraumatic) hemorrhage, grade 1, of newborn",P52.0,ICD10CM,[37167186]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210561,"Intraventricular (nontraumatic) hemorrhage, grade 2, of newborn",P52.1,ICD10CM,[37167187]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1572017,"Intraventricular (nontraumatic) hemorrhage, grade 3 and grade 4, of newborn",P52.2,ICD10CM,[37167188]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597082,"Intraventricular (nontraumatic) hemorrhage, grade 3, of newborn",P52.21,ICD10CM,[37167188]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45544066,"Intraventricular (nontraumatic) hemorrhage, grade 4, of newborn",P52.22,ICD10CM,[37167189]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210562,Unspecified intraventricular (nontraumatic) hemorrhage of newborn,P52.3,ICD10CM,[37167184]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210563,Intracerebral (nontraumatic) hemorrhage of newborn,P52.4,ICD10CM,[439847]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210564,Subarachnoid (nontraumatic) hemorrhage of newborn,P52.5,ICD10CM,[260841]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210565,Cerebellar (nontraumatic) and posterior fossa hemorrhage of newborn,P52.6,ICD10CM,[439847]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210566,Other intracranial (nontraumatic) hemorrhages of newborn,P52.8,ICD10CM,[439847]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35210567,"Intracranial (nontraumatic) hemorrhage of newborn, unspecified",P52.9,ICD10CM,[439847]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",725453,Neonatal cerebral infarction,P91.82,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",725454,"Neonatal cerebral infarction, right side of brain",P91.821,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",725455,"Neonatal cerebral infarction, left side of brain",P91.822,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",725456,"Neonatal cerebral infarction, bilateral",P91.823,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",725457,"Neonatal cerebral infarction, unspecified side",P91.829,ICD10CM,[443454]
"Age-related cognitive decline (102891000, OMOP concept_id: 4009705)",45553736,Age-related cognitive decline,R41.81,ICD10CM,[4009705]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1572423,Traumatic hemorrhage of right cerebrum,S06.34,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10534,Traumatic hemorrhage of right cerebrum without loss of consciousness,S06.340,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45549077,"Traumatic hemorrhage of right cerebrum without loss of consciousness, initial encounter",S06.340A,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45539455,"Traumatic hemorrhage of right cerebrum without loss of consciousness, subsequent encounter",S06.340D,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10535,Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less,S06.341,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582817,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less, initial encounter",S06.341A,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582818,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less, subsequent encounter",S06.341D,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10536,Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes,S06.342,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597288,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",S06.342A,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582819,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",S06.342D,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10537,Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes,S06.343,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45577904,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, initial encounter",S06.343A,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553845,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, subsequent encounter",S06.343D,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10538,Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours,S06.344,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597289,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",S06.344A,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568245,"Traumatic hemorrhage of right cerebrum with loss of consciousness of 6 hours to 24 hours, subsequent encounter",S06.344D,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10539,Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level,S06.345,ICD10CM,[436526]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45587610,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",S06.345A,ICD10CM,[436526]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45606913,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",S06.345D,ICD10CM,[436526]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10540,Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,S06.346,ICD10CM,[437106]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45544258,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",S06.346A,ICD10CM,[437106]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45602106,"Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",S06.346D,ICD10CM,[437106]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10541,Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,S06.347,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582820,"Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",S06.347A,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45544259,"Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter",S06.347D,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10542,Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,S06.348,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45563404,"Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",S06.348A,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45563405,"Traumatic hemorrhage of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, subsequent encounter",S06.348D,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10543,Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration,S06.349,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568247,"Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration, initial encounter",S06.349A,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45592530,"Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration, subsequent encounter",S06.349D,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403002,Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown,S06.34A,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403003,"Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, initial encounter",S06.34AA,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403004,"Traumatic hemorrhage of right cerebrum with loss of consciousness status unknown, subsequent encounter",S06.34AD,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1572424,Traumatic hemorrhage of left cerebrum,S06.35,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10544,Traumatic hemorrhage of left cerebrum without loss of consciousness,S06.350,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45602109,"Traumatic hemorrhage of left cerebrum without loss of consciousness, initial encounter",S06.350A,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553846,"Traumatic hemorrhage of left cerebrum without loss of consciousness, subsequent encounter",S06.350D,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10545,Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less,S06.351,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45573133,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less, initial encounter",S06.351A,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553847,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 30 minutes or less, subsequent encounter",S06.351D,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10546,Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes,S06.352,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45534558,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter",S06.352A,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45606914,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",S06.352D,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10547,Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes,S06.353,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553849,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, initial encounter",S06.353A,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45587611,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 1 hours to 5 hours 59 minutes, subsequent encounter",S06.353D,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10548,Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours,S06.354,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597291,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter",S06.354A,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553850,"Traumatic hemorrhage of left cerebrum with loss of consciousness of 6 hours to 24 hours, subsequent encounter",S06.354D,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10549,Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level,S06.355,ICD10CM,[436526]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568248,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",S06.355A,ICD10CM,[436526]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568249,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",S06.355D,ICD10CM,[436526]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10550,Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving,S06.356,ICD10CM,[437106]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45592531,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",S06.356A,ICD10CM,[437106]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568250,"Traumatic hemorrhage of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",S06.356D,ICD10CM,[437106]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10551,Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness,S06.357,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45534559,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",S06.357A,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45549079,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter",S06.357D,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10552,Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness,S06.358,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582822,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",S06.358A,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45544261,"Traumatic hemorrhage of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, subsequent encounter",S06.358D,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10553,Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration,S06.359,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45539458,"Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration, initial encounter",S06.359A,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45606916,"Traumatic hemorrhage of left cerebrum with loss of consciousness of unspecified duration, subsequent encounter",S06.359D,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403006,Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown,S06.35A,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403007,"Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, initial encounter",S06.35AA,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",37403008,"Traumatic hemorrhage of left cerebrum with loss of consciousness status unknown, subsequent encounter",S06.35AD,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1572425,"Traumatic hemorrhage of cerebrum, unspecified",S06.36,ICD10CM,[376713]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10554,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness",S06.360,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45597292,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, initial encounter",S06.360A,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45563407,"Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, subsequent encounter",S06.360D,ICD10CM,[42873157]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10555,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less",S06.361,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45558589,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, initial encounter",S06.361A,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45553851,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, subsequent encounter",S06.361D,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10556,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes",S06.362,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45539459,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, initial encounter",S06.362A,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45544263,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",S06.362D,ICD10CM,[444197]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10557,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes",S06.363,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45606917,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes, initial encounter",S06.363A,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45606918,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 1 hours to 5 hours 59 minutes, subsequent encounter",S06.363D,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10558,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours",S06.364,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582823,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter",S06.364A,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45534561,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, subsequent encounter",S06.364D,ICD10CM,[444196]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10559,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level",S06.365,ICD10CM,[436526]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45539460,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter",S06.365A,ICD10CM,[436526]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582824,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter",S06.365D,ICD10CM,[436526]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10560,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving",S06.366,ICD10CM,[437106]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45602114,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter",S06.366A,ICD10CM,[437106]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45549080,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter",S06.366D,ICD10CM,[437106]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10561,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness",S06.367,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568251,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter",S06.367A,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45582825,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, subsequent encounter",S06.367D,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10562,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness",S06.368,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45568252,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",S06.368A,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45587614,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, subsequent encounter",S06.368D,ICD10CM,[444198]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",10563,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of unspecified duration",S06.369,ICD10CM,[444198]
